name,code,state,country
Aalborg,AAL,DK-81,DK
Aarhus,AAR,DK-82,DK
Abadan,ABD,IR-10,IR
Abakan,ABA,RU-KK,RU
Aberdeen,ABR,US-SD,US
Aberdeen,ABZ,GB-SCT,GB
Abha,AHB,SA-14,SA
Abidjan,ABJ,CI-01,CI
Abilene,ABI,US-TX,US
Abu Dhabi,AUH,AE-AZ,AE
Abuja,ABV,NG-FC,NG
Acapulco,ACA,MX-GRO,MX
Acarigua,AGV,VE-P,VE
Accra,ACC,GH-AA,GH
Adak Island,ADK,US-AK,US
Adana,ADA,TR-01,TR
Addis Ababa,ADD,ET-AA,ET
Adelaide,ADL,AU-SA,AU
Aden,ADE,YE-AD,YE
Adler,AER,RU-KDA,RU
Agadir,AGA,MA-AGD,MA
Aguascaliente,AGU,MX-AGU,MX
Ahmedabad,AMD,IN-GJ,IN
Ajaccio,AJA,FR-H,FR
Akiak,AKI,US-AK,US
Akita,AXT,JP-05,JP
Akron/Canton,CAK,US-OH,US
Albany,ABY,US-GA,US
Albany,ALB,US-NY,US
Albert Bay,YAL,CA-BC,CA
Albuquerque,ABQ,US-NM,US
Aleandroupolis,AXD,GR-71,GR
Aleppo,ALP,SY-HL,SY
Alexandria,ESF,US-LA,US
Algiers,ALG,DZ-35,DZ
Alicante,ALC,ES-V,ES
Allakaket,AET,US-AK,US
Allentown,ABE,US-PA,US
Alma Ata,ALA,KZ-ALM,KZ
Alor Setar,AOR,MY-02,MY
Altoona,AOO,US-PA,US
Alâ€šÃ„ÃªBaha,ABT,SA-11,SA
Alâ€šÃ„ÃªFujairah,FJR,AE-FU,AE
Amarillo,AMA,US-TX,US
Amchitka,AHT,,
Amman,AMM,JO-AM,JO
Amritsar,ATQ,IN-PB,IN
Amsterdam,AMS,NL-NH,NL
Anchorage,ANC,US-AK,US
Ancona,AOI,IT-57,IT
Andahuaylas,ANS,PE-APU,PE
Anguilla,AZA,US-AZ,US
Aniak,ANI,US-AK,US
Ankang,AKA,CN-61,CN
Ankara,ANK,TR-06,TR
Annecy,NCY,FR-V,FR
Antalya,AYT,TR-07,TR
Antananarivo,TNR,MG-T,MG
Antigua,ANU,AG-03,AG
Antofagasta,ANF,CL-AN,CL
Antwerp,ANR,BE-VAN,BE
Anvik,ANV,US-AK,US
Aomori,AOJ,JP-02,JP
Apia,APW,WS-AA,WS
Appleton,ATW,US-WI,US
Aqaba,AQJ,JO-AQ,JO
"Arcata, Eureka",ACV,US-CA,US
Arctic Village,ARC,US-AK,US
Arecibo,ARE,PR-U-A,PR
Arequipa,AQP,PE-ARE,PE
Arica,ARI,CL-AP,CL
Aruba,AUA,AW-U-A,AW
Ascension,ASC,BO-S,BO
Asheville,AVL,US-NC,US
Ashikawa,AKJ,JP-01,JP
"Ashland, Huntington",HTS,US-WV,US
Asmara,ASM,ER-SK,ER
Asturias,OVD,ES-O,ES
Asuncion,ASU,PY-11,PY
Aswan,ASW,EG-ASN,EG
Athens,ATH,GR-A1,GR
Atlanta,ATL,US-GA,US
Atlantic City,AIY,US-NJ,US
Atmautluak,ATT,US-AK,US
Auckland,AKL,NZ-AUK,NZ
Augusta,AGS,US-GA,US
Austin,AUS,,
Ayacucho,AYP,PE-AYA,PE
"Baghdad, Al Muthana",BGW,IQ-BG,IQ
Bahrain,BAH,BH-15,BH
Bakersfield,BFL,US-CA,US
"Bali Island, Denpasar",DPS,ID-BA,ID
Balmaceda,BBA,CL-AI,CL
Baltimore,BWI,US-MD,US
Bamako,BKO,ML-2,ML
Bandar Abbas,BND,IR-23,IR
Bandar Seri Bagawan,BWN,BN-BM,BN
Bangalore,BLR,IN-KA,IN
Bangkok,BKK,TH-10,TH
Bangor,BGR,US-ME,US
Bangui,BGF,CF-MP,CF
Banjul,BJL,GM-W,GM
Baotou,BAV,CN-15,CN
Barbados,BGI,BB-01,BB
Barcelona,BCN,ES-CT,ES
Barcelona,BLA,VE-B,VE
Bardufoss,BDU,NO-19,NO
Bari,BRI,IT-75,IT
Barinas,BNS,VE-E,VE
Barquisimeto,BRM,VE-K,VE
Barranquilla,BAQ,CO-ATL,CO
Barrow,BRW,US-AK,US
Basle,BSL,FR-A,FR
Basra,BSR,IQ-BA,IQ
Bastia,BIA,FR-H,FR
Baton Rouge,BTR,US-LA,US
Battle Creek,BTL,US-MI,US
Bay City/Saginaw,MBS,US-MI,US
Beaumont,BPT,US-TX,US
Beaver,WBQ,US-AK,US
"Beef Island, Tortola",EIS,VG-U-A,VG
Beijing,BJS,CN-11,CN
Beira,BEW,MZ-S,MZ
Beirut,BEY,LB-JL,LB
Belem,BEL,BR-PA,BR
Belfast,BFS,GB-NIR,GB
Belgrade,BEG,RS-00,RS
Belize,BZE,BZ-BZ,BZ
Bellingham,BLI,US-WA,US
Belo Horizonte,BHZ,,
Benghazi,BEN,LY-BA,LY
Bergen,BGO,NO-12,NO
Berlin,BER,DE-BE,DE
"Berlin, Schonefeld",SXF,DE-BR,DE
Bermuda,BDA,BM-U-A,BM
Bern,BRN,CH-BE,CH
Bethel,BET,US-AK,US
Bettles,BTT,US-AK,US
Biak,BIK,ID-PA,ID
Biarritz,BIQ,FR-B,FR
Bilbao,BIO,ES-PV,ES
Billings,BIL,US-MT,US
Billund,BLL,DK-83,DK
Binghamton,BGM,US-NY,US
Bintulu,BTU,MY-13,MY
Birmingham,BHM,US-AL,US
Birmingham,BHX,GB-ENG,GB
Bissau,BXO,CH-NW,CH
Blantyre,BLZ,MW-BL,MW
Bloemfontein,BFN,ZA-FS,ZA
Bloomington,BMI,US-IL,US
Boa Vista,BVB,BR-RR,BR
Bodo,BOO,NO-18,NO
Bogota,BOG,CO-CUN,CO
Boise,BOI,US-ID,US
Bologna,BLQ,IT-45,IT
Bombay,BOM,IN-MM,IN
Bonaire,BON,BQ-U-A,BQ
Bordeaux,BOD,FR-B,FR
Boston,BOS,US-MA,US
Boulder,WBU,US-CO,US
Bourlamaq/Val D'or,YVO,CA-QC,CA
Bournemouth,BOH,GB-ENG,GB
Bozeman,BZN,US-MT,US
Bradley,BDL,,
Brainerd,BRD,US-MN,US
Brasilia,BSB,BR-DF,BR
Bratislava,BTS,SK-BL,SK
Brazzaville,BZV,CG-12,CG
Bremen,BRE,DE-HB,DE
Brest,BES,FR-E,FR
Bridgeport,BDR,US-CT,US
Brisbane,BNE,AU-QLD,AU
Bristol,BRS,GB-ENG,GB
Brownsville,BRO,US-TX,US
Brussels,BRU,BE-BRU,BE
Bucaramanga,BGA,CO-SAN,CO
Bucharest,BUH,RO-B,RO
Budapest,BUD,HU-PE,HU
